bucket,value
2026-01-10T19,2496.135
2026-01-10T20,2505.424
2026-01-10T21,2220.047
2026-01-10T22,1304.42
2026-01-10T23,883.964
2026-01-11T00,660.209
2026-01-11T01,550.693
2026-01-11T02,524.2
2026-01-11T03,519.061
2026-01-11T04,509.372
2026-01-11T05,510.523
2026-01-11T06,526.975
2026-01-11T07,599.54
2026-01-11T08,774.354
2026-01-11T09,895.989
2026-01-11T10,1055.495
2026-01-11T11,1362.49
2026-01-11T12,2081.418
2026-01-11T13,2465.953
2026-01-11T14,2502.287
2026-01-11T15,2479.557
2026-01-11T16,2426.896
2026-01-11T17,2432.689
2026-01-11T18,2449.714
2026-01-11T19,2417.043
2026-01-11T20,2139.669
2026-01-11T21,1504.309
2026-01-11T22,1017.317
2026-01-11T23,707.655
2026-01-12T00,607.845
2026-01-12T01,544.731
2026-01-12T02,521.31
2026-01-12T03,507.822
2026-01-12T04,499.28
2026-01-12T05,496.371
2026-01-12T06,517.154
2026-01-12T07,660.382
2026-01-12T08,964.828
2026-01-12T09,1598.504
2026-01-12T10,2353.305
2026-01-12T11,2433.964
2026-01-12T12,2488.392
2026-01-12T13,2497.913
2026-01-12T14,2489.184
2026-01-12T15,2489.93
2026-01-12T16,2491.052
2026-01-12T17,2459.288
2026-01-12T18,2447.027
2026-01-12T19,2459.068
2026-01-12T20,2428.923
2026-01-12T21,2050.415
2026-01-12T22,1166.76
2026-01-12T23,784.777
2026-01-13T00,636.14
2026-01-13T01,550.123
2026-01-13T02,523.857
2026-01-13T03,516.025
2026-01-13T04,510.322
2026-01-13T05,512.986
2026-01-13T06,550.682
2026-01-13T07,644.147
2026-01-13T08,991.131
2026-01-13T09,1528.021
2026-01-13T10,2341.545
2026-01-13T11,2430.235
2026-01-13T12,2469.454
2026-01-13T13,2446.364
2026-01-13T14,2445.849
2026-01-13T15,2440.904
2026-01-13T16,2471.418
2026-01-13T17,2456.798
2026-01-13T18,2463.747
2026-01-13T19,2457.896
2026-01-13T20,2418.281
2026-01-13T21,2054.943
2026-01-13T22,1175.412
2026-01-13T23,773.401
2026-01-14T00,601.211
2026-01-14T01,527.626
2026-01-14T02,506.206
2026-01-14T03,503.27
2026-01-14T04,494.833
2026-01-14T05,493.574
2026-01-14T06,533.415
2026-01-14T07,639.155
2026-01-14T08,894.498
2026-01-14T09,1453.195
2026-01-14T10,2146.882
2026-01-14T11,2279.702
2026-01-14T12,2331.692
2026-01-14T13,2365.192
2026-01-14T14,2344.955
2026-01-14T15,2322.562
2026-01-14T16,2309.487
2026-01-14T17,2300.31
2026-01-14T18,2298.241
2026-01-14T19,2290.893
2026-01-14T20,2244.449
2026-01-14T21,1922.537
2026-01-14T22,1183.54
2026-01-14T23,791.312
2026-01-15T00,616.013
2026-01-15T01,544.134
2026-01-15T02,529.081
2026-01-15T03,505.193
2026-01-15T04,500.786
2026-01-15T05,502.868
2026-01-15T06,530.827
2026-01-15T07,667.42
2026-01-15T08,1020.343
2026-01-15T09,1668.092
2026-01-15T10,2477.874
2026-01-15T11,2542.518
2026-01-15T12,2595.71
2026-01-15T13,2585.3
2026-01-15T14,2568.587
2026-01-15T15,2574.888
2026-01-15T16,2570.776
2026-01-15T17,2559.572
2026-01-15T18,2577.606
2026-01-15T19,2543.903
2026-01-15T20,2488.258
2026-01-15T21,2111.92
2026-01-15T22,1222.874
2026-01-15T23,817.656
2026-01-16T00,622.668
2026-01-16T01,530.122
2026-01-16T02,509.113
2026-01-16T03,494.539
2026-01-16T04,486.225
2026-01-16T05,479.583
2026-01-16T06,503.121
2026-01-16T07,656.428
2026-01-16T08,1008.061
2026-01-16T09,1649.247
2026-01-16T10,2425.129
2026-01-16T11,2448.107
2026-01-16T12,2519.14
2026-01-16T13,2541.751
2026-01-16T14,2550.083
2026-01-16T15,2541.844
2026-01-16T16,2542.156
2026-01-16T17,2527.127
2026-01-16T18,2536.493
2026-01-16T19,2536.907
2026-01-16T20,2487.414
2026-01-16T21,2162.503
2026-01-16T22,1276.281
2026-01-16T23,850.369
2026-01-17T00,631.372
2026-01-17T01,527.03
2026-01-17T02,506.75
2026-01-17T03,497.568
2026-01-17T04,489.757
2026-01-17T05,493.361
2026-01-17T06,517.911
2026-01-17T07,661.68
2026-01-17T08,969.637
2026-01-17T09,1566.13
2026-01-17T10,2352.696
2026-01-17T11,2448.913
2026-01-17T12,2494.681
2026-01-17T13,2504.837
2026-01-17T14,2548.806
2026-01-17T15,2523.257
2026-01-17T16,2510.941
2026-01-17T17,2487.108
2026-01-17T18,2539.573
2026-01-17T19,2496.135
2026-01-17T20,2505.424
2026-01-17T21,2220.047
2026-01-17T22,1304.42
2026-01-17T23,883.964
2026-01-18T00,660.209
2026-01-18T01,550.693
2026-01-18T02,524.2
2026-01-18T03,519.061
2026-01-18T04,509.372
2026-01-18T05,510.523
2026-01-18T06,526.975
2026-01-18T07,599.54
2026-01-18T08,774.354
2026-01-18T09,895.989
2026-01-18T10,1055.495
2026-01-18T11,1362.49
2026-01-18T12,2081.418
2026-01-18T13,2465.953
2026-01-18T14,2502.287
2026-01-18T15,2479.557
2026-01-18T16,2426.896
2026-01-18T17,2432.689
2026-01-18T18,2449.714
2026-01-18T19,2417.043
2026-01-18T20,2139.669
2026-01-18T21,1504.309
2026-01-18T22,1017.317
2026-01-18T23,707.655
2026-01-19T00,607.845
2026-01-19T01,544.731
2026-01-19T02,521.31
2026-01-19T03,507.822
2026-01-19T04,499.28
2026-01-19T05,496.371
2026-01-19T06,517.154
2026-01-19T07,660.382
2026-01-19T08,964.828
2026-01-19T09,1598.504
2026-01-19T10,2353.305
2026-01-19T11,2433.964
2026-01-19T12,2488.392
2026-01-19T13,2497.913
2026-01-19T14,2489.184
2026-01-19T15,2489.93
2026-01-19T16,2491.052
2026-01-19T17,2459.288
2026-01-19T18,2447.027
2026-01-19T19,2459.068
2026-01-19T20,2428.923
2026-01-19T21,2050.415
2026-01-19T22,1166.76
2026-01-19T23,784.777
2026-01-20T00,636.14
2026-01-20T01,550.123
2026-01-20T02,523.857
2026-01-20T03,516.025
2026-01-20T04,510.322
2026-01-20T05,512.986
2026-01-20T06,550.682
2026-01-20T07,644.147
2026-01-20T08,991.131
2026-01-20T09,1528.021
2026-01-20T10,2341.545
2026-01-20T11,2430.235
2026-01-20T12,2469.454
2026-01-20T13,2446.364
2026-01-20T14,2445.849
2026-01-20T15,2440.904
2026-01-20T16,2471.418
2026-01-20T17,2456.798
2026-01-20T18,2463.747
2026-01-20T19,2457.896
2026-01-20T20,2418.281
2026-01-20T21,2054.943
2026-01-20T22,1175.412
2026-01-20T23,773.401
2026-01-21T00,601.211
2026-01-21T01,527.626
2026-01-21T02,506.206
2026-01-21T03,503.27
2026-01-21T04,494.833
2026-01-21T05,493.574
2026-01-21T06,533.415
2026-01-21T07,639.155
2026-01-21T08,894.498
2026-01-21T09,1453.195
2026-01-21T10,2146.882
2026-01-21T11,2279.702
2026-01-21T12,2331.692
2026-01-21T13,2365.192
2026-01-21T14,2344.955
2026-01-21T15,2322.562
2026-01-21T16,2309.487
2026-01-21T17,2300.31
2026-01-21T18,2298.241
2026-01-21T19,2290.893
2026-01-21T20,2244.449
2026-01-21T21,1922.537
2026-01-21T22,1183.54
2026-01-21T23,791.312
2026-01-22T00,616.013
2026-01-22T01,544.134
2026-01-22T02,529.081
2026-01-22T03,505.193
2026-01-22T04,500.786
2026-01-22T05,502.868
2026-01-22T06,530.827
2026-01-22T07,667.42
2026-01-22T08,1020.343
2026-01-22T09,1668.092
2026-01-22T10,2477.874
2026-01-22T11,2542.518
2026-01-22T12,2595.71
2026-01-22T13,2585.3
2026-01-22T14,2568.587
2026-01-22T15,2574.888
2026-01-22T16,2570.776
2026-01-22T17,2559.572
2026-01-22T18,2577.606
2026-01-22T19,2543.903
2026-01-22T20,2488.258
2026-01-22T21,2111.92
2026-01-22T22,1222.874
2026-01-22T23,817.656
2026-01-23T00,622.668
2026-01-23T01,530.122
2026-01-23T02,509.113
2026-01-23T03,494.539
2026-01-23T04,486.225
2026-01-23T05,479.583
2026-01-23T06,503.121
2026-01-23T07,656.428
2026-01-23T08,1008.061
2026-01-23T09,1649.247
2026-01-23T10,2425.129
2026-01-23T11,2448.107
2026-01-23T12,2519.14
2026-01-23T13,2541.751
2026-01-23T14,2550.083
2026-01-23T15,2541.844
2026-01-23T16,2542.156
2026-01-23T17,2527.127
2026-01-23T18,2536.493
2026-01-23T19,2536.907
2026-01-23T20,2487.414
2026-01-23T21,2162.503
2026-01-23T22,1276.281
