bucket,value
2026-01-10T21,973.517
2026-01-10T22,781.893
2026-01-10T23,548.922
2026-01-11T00,443.108
2026-01-11T01,655.537
2026-01-11T02,668.939
2026-01-11T03,660.100
2026-01-11T04,666.943
2026-01-11T05,644.702
2026-01-11T06,587.674
2026-01-11T07,616.473
2026-01-11T08,657.533
2026-01-11T09,549.465
2026-01-11T10,682.056
2026-01-11T11,914.445
2026-01-11T12,1175.633
2026-01-11T13,1320.770
2026-01-11T14,1275.718
2026-01-11T15,1300.240
2026-01-11T16,1365.537
2026-01-11T17,1314.211
2026-01-11T18,1032.493
2026-01-11T19,997.135
2026-01-11T20,970.047
2026-01-11T21,703.726
2026-01-11T22,599.365
2026-01-11T23,466.489
2026-01-12T00,429.169
2026-01-12T01,497.323
2026-01-12T02,634.486
2026-01-12T03,618.802
2026-01-12T04,556.636
2026-01-12T05,556.351
2026-01-12T06,635.341
2026-01-12T07,669.561
2026-01-12T08,772.219
2026-01-12T09,774.215
2026-01-12T10,1161.180
2026-01-12T11,1239.885
2026-01-12T12,1381.040
2026-01-12T13,1409.271
2026-01-12T14,1390.450
2026-01-12T15,1368.493
2026-01-12T16,1384.177
2026-01-12T17,1296.917
2026-01-12T18,1065.651
2026-01-12T19,1073.350
2026-01-12T20,1029.150
2026-01-12T21,956.719
2026-01-12T22,655.017
2026-01-12T23,420.329
2026-01-13T00,349.609
2026-01-13T01,584.583
2026-01-13T02,658.440
2026-01-13T03,651.596
2026-01-13T04,666.424
2026-01-13T05,664.998
2026-01-13T06,743.418
2026-01-13T07,819.842
2026-01-13T08,903.394
2026-01-13T09,797.029
2026-01-13T10,1170.021
2026-01-13T11,1323.153
2026-01-13T12,1350.528
2026-01-13T13,1414.690
2026-01-13T14,1400.147
2026-01-13T15,1357.658
2026-01-13T16,1343.399
2026-01-13T17,1203.670
2026-01-13T18,1034.284
2026-01-13T19,1034.854
2026-01-13T20,997.498
2026-01-13T21,926.777
2026-01-13T22,592.282
2026-01-13T23,418.618
2026-01-14T00,420.202
2026-01-14T01,543.617
2026-01-14T02,612.282
2026-01-14T03,565.288
2026-01-14T04,591.751
2026-01-14T05,589.698
2026-01-14T06,563.463
2026-01-14T07,623.916
2026-01-14T08,729.993
2026-01-14T09,782.233
2026-01-14T10,980.472
2026-01-14T11,1133.314
2026-01-14T12,1295.966
2026-01-14T13,1345.468
2026-01-14T14,1316.953
2026-01-14T15,1269.504
2026-01-14T16,1246.463
2026-01-14T17,1182.133
2026-01-14T18,982.069
2026-01-14T19,989.369
2026-01-14T20,958.572
2026-01-14T21,872.114
2026-01-14T22,693.265
2026-01-14T23,538.826
2026-01-15T00,480.671
2026-01-15T01,552.761
2026-01-15T02,661.579
2026-01-15T03,626.675
2026-01-15T04,615.040
2026-01-15T05,613.215
2026-01-15T06,696.711
2026-01-15T07,753.059
2026-01-15T08,790.473
2026-01-15T09,844.996
2026-01-15T10,1139.285
2026-01-15T11,1325.211
2026-01-15T12,1370.153
2026-01-15T13,1442.926
2026-01-15T14,1435.398
2026-01-15T15,1404.144
2026-01-15T16,1411.444
2026-01-15T17,1281.866
2026-01-15T18,1044.382
2026-01-15T19,1055.561
2026-01-15T20,1014.269
2026-01-15T21,953.358
2026-01-15T22,646.066
2026-01-15T23,467.896
2026-01-16T00,408.125
2026-01-16T01,510.556
2026-01-16T02,604.089
2026-01-16T03,633.974
2026-01-16T04,647.206
2026-01-16T05,638.765
2026-01-16T06,657.016
2026-01-16T07,741.880
2026-01-16T08,846.364
2026-01-16T09,790.244
2026-01-16T10,1153.884
2026-01-16T11,1300.115
2026-01-16T12,1381.786
2026-01-16T13,1416.690
2026-01-16T14,1376.995
2026-01-16T15,1358.516
2026-01-16T16,1439.503
2026-01-16T17,1342.091
2026-01-16T18,1073.582
2026-01-16T19,1075.635
2026-01-16T20,1042.784
2026-01-16T21,993.280
2026-01-16T22,709.257
2026-01-16T23,465.614
2026-01-17T00,373.552
2026-01-17T01,449.688
2026-01-17T02,664.695
2026-01-17T03,667.546
2026-01-17T04,678.097
2026-01-17T05,675.531
2026-01-17T06,726.858
2026-01-17T07,782.749
2026-01-17T08,875.709
2026-01-17T09,799.858
2026-01-17T10,1080.450
2026-01-17T11,1199.644
2026-01-17T12,1360.757
2026-01-17T13,1436.323
2026-01-17T14,1405.811
2026-01-17T15,1369.882
2026-01-17T16,1365.319
2026-01-17T17,1340.796
2026-01-17T18,1172.840
2026-01-17T19,1022.564
2026-01-17T20,1014.579
2026-01-17T21,973.517
2026-01-17T22,781.893
2026-01-17T23,548.922
2026-01-18T00,443.108
2026-01-18T01,655.537
2026-01-18T02,668.939
2026-01-18T03,660.100
2026-01-18T04,666.943
2026-01-18T05,644.702
2026-01-18T06,587.674
2026-01-18T07,616.473
2026-01-18T08,657.533
2026-01-18T09,549.465
2026-01-18T10,682.056
2026-01-18T11,914.445
2026-01-18T12,1175.633
2026-01-18T13,1320.770
2026-01-18T14,1275.718
2026-01-18T15,1300.240
2026-01-18T16,1365.537
2026-01-18T17,1314.211
2026-01-18T18,1032.493
2026-01-18T19,997.135
2026-01-18T20,970.047
2026-01-18T21,703.726
2026-01-18T22,599.365
2026-01-18T23,466.489
2026-01-19T00,429.169
2026-01-19T01,497.323
2026-01-19T02,634.486
2026-01-19T03,618.802
2026-01-19T04,556.636
2026-01-19T05,556.351
2026-01-19T06,635.341
2026-01-19T07,669.561
2026-01-19T08,772.219
2026-01-19T09,774.215
2026-01-19T10,1161.180
2026-01-19T11,1239.885
2026-01-19T12,1381.040
2026-01-19T13,1409.271
2026-01-19T14,1390.450
2026-01-19T15,1368.493
2026-01-19T16,1384.177
2026-01-19T17,1296.917
2026-01-19T18,1065.651
2026-01-19T19,1073.350
2026-01-19T20,1029.150
2026-01-19T21,956.719
2026-01-19T22,655.017
2026-01-19T23,420.329
2026-01-20T00,349.609
2026-01-20T01,584.583
2026-01-20T02,658.440
2026-01-20T03,651.596
2026-01-20T04,666.424
2026-01-20T05,664.998
2026-01-20T06,743.418
2026-01-20T07,819.842
2026-01-20T08,903.394
2026-01-20T09,797.029
2026-01-20T10,1170.021
2026-01-20T11,1323.153
2026-01-20T12,1350.528
2026-01-20T13,1414.690
2026-01-20T14,1400.147
2026-01-20T15,1357.658
2026-01-20T16,1343.399
2026-01-20T17,1203.670
2026-01-20T18,1034.284
2026-01-20T19,1034.854
2026-01-20T20,997.498
2026-01-20T21,926.777
2026-01-20T22,592.282
2026-01-20T23,418.618
2026-01-21T00,420.202
2026-01-21T01,543.617
2026-01-21T02,612.282
2026-01-21T03,565.288
2026-01-21T04,591.751
2026-01-21T05,589.698
2026-01-21T06,563.463
2026-01-21T07,623.916
2026-01-21T08,729.993
2026-01-21T09,782.233
2026-01-21T10,980.472
2026-01-21T11,1133.314
2026-01-21T12,1295.966
2026-01-21T13,1345.468
2026-01-21T14,1316.953
2026-01-21T15,1269.504
2026-01-21T16,1246.463
2026-01-21T17,1182.133
2026-01-21T18,982.069
2026-01-21T19,989.369
2026-01-21T20,958.572
2026-01-21T21,872.114
2026-01-21T22,693.265
2026-01-21T23,538.826
2026-01-22T00,480.671
2026-01-22T01,552.761
2026-01-22T02,661.579
2026-01-22T03,626.675
2026-01-22T04,615.040
2026-01-22T05,613.215
2026-01-22T06,696.711
2026-01-22T07,753.059
2026-01-22T08,790.473
2026-01-22T09,844.996
2026-01-22T10,1139.285
2026-01-22T11,1325.211
2026-01-22T12,1370.153
2026-01-22T13,1442.926
2026-01-22T14,1435.398
2026-01-22T15,1404.144
2026-01-22T16,1411.444
2026-01-22T17,1281.866
2026-01-22T18,1044.382
2026-01-22T19,1055.561
2026-01-22T20,1014.269
2026-01-22T21,953.358
2026-01-22T22,646.066
2026-01-22T23,467.896
2026-01-23T00,408.125
2026-01-23T01,510.556
2026-01-23T02,604.089
2026-01-23T03,633.974
2026-01-23T04,647.206
2026-01-23T05,638.765
2026-01-23T06,657.016
2026-01-23T07,741.880
2026-01-23T08,846.364
